respondent_id,survey_year,country,age,gender,education_level,years_of_experience,role,employment_status,company_size,work_mode,coding_hours_per_week,annual_salary_usd,job_satisfaction,career_satisfaction,primary_os,languages_used,frameworks_used,databases_used,cloud_platforms_used,ide_editor,ai_tools_used,ai_usage_frequency,ai_productivity_boost_pct,ai_sentiment,ai_job_threat_perception,primary_learning_source,open_source_contributor,looking_for_job,remote_work_preference_1to5,burnout_frequency,want_to_learn_next
R01437,2020,Finland,35,Man,Self-taught / Bootcamp,8,Full-Stack Developer,Student,201-1000,Remote,26,13100,3,4,macOS,Java;C#;Python;JavaScript;TypeScript;Go,Tailwind CSS;React;TensorFlow;Spring Boot;Express,Firebase Realtime DB;MySQL;MongoDB;PostgreSQL,AWS;Azure;Vercel,VS Code,v0;Gemini;ChatGPT;Codeium,Multiple times daily,26,Neutral,Moderate threat,Online courses,1,Actively looking,5,Rarely,Kubernetes;Rust
R01438,2023,Mexico,26,Man,Master's degree,5,Mobile Developer,Student,1001-5000,Remote,19,0,2,4,Windows,SQL;Dart;C#;PHP;Python;Java,Tailwind CSS;Flask;Laravel;Next.js,MariaDB;MongoDB;Cassandra;PostgreSQL,Cloudflare,IntelliJ IDEA,Amazon CodeWhisperer;GitHub Copilot;Gemini;ChatGPT,Multiple times daily,43,Very positive,Moderate threat,Official docs,0,Open to offers,5,Often,TypeScript;AI/ML
R01439,2022,United States,28,Man,Master's degree,6,Front-End Developer,Full-time,1001-5000,In-Office,41,132900,3,5,Windows,JavaScript;Python;TypeScript;HTML/CSS,PyTorch;jQuery;Tailwind CSS,MongoDB;MySQL,Google Cloud;AWS,Visual Studio;Eclipse,Amazon CodeWhisperer;Gemini,Daily,22,Somewhat negative,Moderate threat,Official docs,0,Not looking,5,Never,Kubernetes;Python
R01440,2022,Brazil,40,Man,Bachelor's degree,13,Machine Learning Engineer,Student,10000+,In-Office,11,10720,5,5,Linux,C++;SQL;Java;JavaScript,Spring Boot;Django,MariaDB;Supabase;SQLite,Google Cloud;Heroku;Cloudflare,VS Code;WebStorm,Perplexity;Claude;Cursor AI,Never,7,Somewhat positive,Minimal threat,Online courses,0,Not looking,5,Sometimes,Zig;HTMX;Elixir
R01441,2024,United States,34,Man,Self-taught / Bootcamp,8,Back-End Developer,Full-time,11-50,In-Office,22,102700,4,4,Windows,Bash/Shell;Python,Vue.js;.NET;PyTorch;Bootstrap,PostgreSQL;Microsoft SQL Server,Heroku;Hetzner;Azure,IntelliJ IDEA;Vim/Neovim;Sublime Text,,Never,9,Neutral,Significant threat,ChatGPT/AI,0,Actively looking,4,Always,Zig;TypeScript
R01442,2023,Nigeria,44,Man,Master's degree,20,Full-Stack Developer,Full-time,10000+,Remote,35,19300,3,5,macOS,R;JavaScript;SQL,React;Node.js;Express;jQuery;React Native,MongoDB;Oracle;Supabase,Vercel;Netlify;AWS,VS Code;Xcode;IntelliJ IDEA,ChatGPT;Claude;GitHub Copilot,Multiple times daily,22,Somewhat positive,No threat,Stack Overflow,0,Not looking,3,Often,Zig
R01443,2022,Germany,47,Man,Self-taught / Bootcamp,19,Full-Stack Developer,Full-time,11-50,Remote,42,74500,4,5,Linux,C;JavaScript;SQL;TypeScript;Haskell,React;jQuery;React Native;Bootstrap,PostgreSQL,AWS,Cursor;Zed,,Multiple times daily,30,Very positive,Moderate threat,ChatGPT/AI,1,Open to offers,4,Rarely,AI/ML;TypeScript;Elixir
R01444,2020,Poland,40,Man,Doctorate (PhD),24,Front-End Developer,Part-time,51-200,Remote,31,46800,3,5,Windows,TypeScript;Bash/Shell;Ruby;Dart;JavaScript;HTML/CSS,Node.js,Redis;SQLite,AWS,PyCharm;VS Code;Xcode,Claude;Gemini;Claude Code,Multiple times daily,50,Somewhat positive,No threat,Stack Overflow,1,Open to offers,4,Sometimes,Kotlin
R01445,2026,Canada,30,Prefer not to say,Master's degree,5,Full-Stack Developer,Full-time,10000+,In-Office,49,87500,5,5,Windows,SQL;Bash/Shell;Java;Swift,Spring Boot,Redis;MySQL,Google Cloud;Render;Netlify,Visual Studio,GitHub Copilot;Claude;Codeium;v0,Multiple times daily,31,Very negative,Minimal threat,ChatGPT/AI,0,Open to offers,5,Rarely,TypeScript
R01446,2025,France,44,Man,Self-taught / Bootcamp,22,Freelancer / Consultant,Full-time,5001-10000,Remote,26,91500,4,4,Linux,Bash/Shell;Dart;R,Django;Bootstrap;React,PostgreSQL,Azure,Visual Studio;Eclipse,Claude;ChatGPT;GitHub Copilot,Rarely,0,Very positive,Minimal threat,YouTube,1,Open to offers,4,Rarely,Zig;Web3
R01447,2025,Romania,35,Woman,Some college,9,Full-Stack Developer,Full-time,1-10,In-Office,32,36500,3,4,Linux,Bash/Shell;HTML/CSS;JavaScript;Java;SQL;Python,Next.js;Bootstrap;Flutter;Laravel,Cassandra;Microsoft SQL Server,Cloudflare;Hetzner;Google Cloud,Cursor;Visual Studio;WebStorm,ChatGPT,Weekly,17,Neutral,Minimal threat,Blogs,0,Not looking,1,Often,Kubernetes;Go
R01448,2022,Japan,18,Man,Bachelor's degree,2,Data Scientist,Full-time,51-200,Remote,33,39800,2,5,Windows,C#,Laravel;Ruby on Rails;Bootstrap,Microsoft SQL Server;MongoDB;Redis;PostgreSQL,Azure,Sublime Text;WebStorm,Tabnine;ChatGPT;GitHub Copilot,Weekly,17,Neutral,Moderate threat,Online courses,0,Not looking,4,Sometimes,Python
R01449,2023,Sweden,28,Man,Bachelor's degree,8,DevOps / SRE,Full-time,11-50,In-Office,33,98200,1,3,macOS,Kotlin;Python;C#;Bash/Shell;Swift;C,Next.js;Node.js;jQuery;FastAPI,DynamoDB;PostgreSQL,Azure,VS Code,ChatGPT;Cursor AI,Multiple times daily,21,Somewhat positive,Moderate threat,Official docs,0,Not looking,5,Rarely,TypeScript
R01450,2026,Australia,32,Woman,Self-taught / Bootcamp,10,Back-End Developer,Full-time,10000+,Hybrid,36,115400,1,4,Linux,Python;C#;SQL;JavaScript,Express;Flutter;React;Node.js;Angular,Elasticsearch,Fly.io;Netlify;DigitalOcean,VS Code,,Daily,53,Somewhat positive,Minimal threat,YouTube,0,Not looking,4,Sometimes,Zig;Web3;Kubernetes
R01451,2025,United Kingdom,25,Woman,Bachelor's degree,2,Student / Intern,Full-time,11-50,Remote,38,11300,2,5,macOS,HTML/CSS;C,TensorFlow,PostgreSQL;SQLite,Azure;Vercel,Vim/Neovim,,Weekly,30,Neutral,Moderate threat,YouTube,1,Actively looking,4,Sometimes,AI/ML;Web3;Kotlin
R01452,2022,United States,38,Man,Bachelor's degree,22,Full-Stack Developer,Full-time,1-10,Remote,37,226500,2,3,macOS,Python;Go;Rust,Nuxt.js;.NET;React;Node.js,PostgreSQL,Netlify,WebStorm,Gemini;Cursor AI;ChatGPT,Multiple times daily,37,Very negative,Moderate threat,Stack Overflow,1,Open to offers,5,Rarely,Web3
R01453,2026,United States,30,Prefer not to say,Bachelor's degree,5,Back-End Developer,Full-time,1001-5000,Remote,40,96300,3,3,macOS,Kotlin;SQL;JavaScript;HTML/CSS;Bash/Shell;C#,Bootstrap;Next.js;React,SQLite;Elasticsearch;Redis,DigitalOcean,IntelliJ IDEA;PyCharm;Visual Studio,Gemini;Claude,Multiple times daily,43,Very negative,No threat,Stack Overflow,1,Actively looking,3,Sometimes,TypeScript
R01454,2026,India,27,Man,Doctorate (PhD),6,Full-Stack Developer,Full-time,201-1000,In-Office,43,25300,5,4,Windows,Python;PHP;HTML/CSS;TypeScript;Ruby;Go,FastAPI;Tailwind CSS;React,Microsoft SQL Server;Firebase Realtime DB;Cassandra;Oracle,Heroku;DigitalOcean,PyCharm;VS Code,,Multiple times daily,38,Somewhat positive,Moderate threat,ChatGPT/AI,1,Open to offers,3,Sometimes,Go
R01455,2021,Brazil,18,Man,Bachelor's degree,0,Full-Stack Developer,Full-time,51-200,Hybrid,29,9500,1,3,Linux,TypeScript;Python;JavaScript,Node.js;Angular;Spring Boot;React Native,MySQL,Google Cloud;Hetzner;Heroku,Cursor;Vim/Neovim;VS Code,,Weekly,24,Somewhat positive,Minimal threat,Official docs,0,Actively looking,5,Often,Elixir;Swift
R01456,2021,India,36,Man,Master's degree,15,Machine Learning Engineer,Full-time,201-1000,Hybrid,27,37300,4,5,Linux,R;HTML/CSS,React;Bootstrap;.NET;Express,PostgreSQL;SQLite;MariaDB,AWS;Render,Visual Studio;PyCharm,Gemini;Perplexity;GitHub Copilot,Monthly,16,Very positive,No threat,Stack Overflow,0,Actively looking,5,Sometimes,Zig;HTMX;AI/ML
R01457,2026,India,34,Non-binary,Bachelor's degree,9,Game Developer,Full-time,1-10,Hybrid,34,17700,3,5,Windows,PHP;C#;Swift,React,Oracle;MySQL;MongoDB;PostgreSQL,DigitalOcean;Fly.io;Cloudflare,VS Code;Visual Studio;Vim/Neovim,Cursor AI,Never,12,Somewhat negative,No threat,ChatGPT/AI,0,Actively looking,5,Sometimes,Rust;Elixir
R01458,2024,United Kingdom,27,Man,Self-taught / Bootcamp,0,Cloud Engineer,Full-time,5001-10000,Remote,47,32400,4,3,Windows,Bash/Shell;JavaScript,jQuery,Oracle;MongoDB;Redis;PostgreSQL,Cloudflare,IntelliJ IDEA,Amazon CodeWhisperer;GitHub Copilot;Codeium;Gemini,Daily,67,Neutral,Minimal threat,Stack Overflow,0,Not looking,5,Sometimes,Kubernetes;HTMX;Swift
R01459,2025,Russia,46,Man,Bachelor's degree,30,Back-End Developer,Full-time,51-200,Hybrid,24,27400,1,2,Linux,JavaScript;C,Angular;Flask,PostgreSQL,AWS;Cloudflare;Azure,VS Code;Vim/Neovim;PyCharm,,Never,2,Neutral,Significant threat,Official docs,0,Not looking,4,Often,Python
R01460,2025,Colombia,38,Man,Associate degree,15,Data Engineer,Full-time,201-1000,Remote,31,20900,4,2,Linux,Java,FastAPI;React Native;Vue.js;Bootstrap,MongoDB;Firebase Realtime DB,Vercel;DigitalOcean;Netlify,Visual Studio;PyCharm;IntelliJ IDEA,GitHub Copilot,Never,7,Very positive,Significant threat,Colleagues,1,Open to offers,5,Rarely,AI/ML;Kotlin
R01461,2021,India,19,Man,Doctorate (PhD),0,Full-Stack Developer,Full-time,1001-5000,In-Office,39,12000,4,3,macOS,Java;SQL;JavaScript,Laravel;React,SQLite;Microsoft SQL Server;MySQL;MariaDB,AWS;Azure,VS Code;Visual Studio;Cursor,Claude;Cursor AI,Never,7,Somewhat positive,Moderate threat,Official docs,0,Open to offers,3,Sometimes,AI/ML;TypeScript
R01462,2024,Mexico,29,Prefer not to say,Bachelor's degree,5,Full-Stack Developer,Freelance,1-10,In-Office,42,18500,4,4,Windows,C,Svelte;Tailwind CSS;Vue.js;.NET,Oracle;MongoDB;PostgreSQL;MySQL,Fly.io;Render,VS Code,Gemini,Weekly,12,Very positive,Significant threat,Online courses,1,Open to offers,5,Rarely,Python;Elixir
R01463,2021,United States,35,Man,Bachelor's degree,9,Full-Stack Developer,Freelance,201-1000,In-Office,36,156200,3,3,Windows,C#;SQL;JavaScript;Java,Node.js;React;FastAPI;TensorFlow,Oracle;SQLite;Microsoft SQL Server,Fly.io;Netlify,Vim/Neovim;VS Code;Visual Studio,,Weekly,17,Very negative,No threat,Official docs,0,Not looking,5,Sometimes,Kubernetes;AI/ML
R01464,2024,India,28,Man,Master's degree,5,Front-End Developer,Student,11-50,In-Office,26,0,3,5,Linux,Zig;HTML/CSS;Java,Ruby on Rails;Angular;Flask;FastAPI;React,PostgreSQL;SQLite;CockroachDB;MySQL,Azure,Android Studio,,Rarely,0,Neutral,Moderate threat,Official docs,0,Not looking,5,Sometimes,Kotlin
R01465,2022,United Kingdom,32,Man,Master's degree,8,Engineering Manager,Freelance,10000+,Hybrid,15,98300,4,4,macOS,HTML/CSS,Tailwind CSS;React Native;Angular;Bootstrap;Svelte,Cassandra,Azure;Render;AWS,IntelliJ IDEA;VS Code;Vim/Neovim,Perplexity;ChatGPT;Windsurf,Monthly,19,Somewhat negative,Moderate threat,ChatGPT/AI,1,Open to offers,4,Sometimes,Swift;Kotlin
R01466,2024,United States,51,Man,Bachelor's degree,29,Front-End Developer,Unemployed,1001-5000,Remote,22,24460,3,1,macOS,C;Python;Rust,Node.js,Redis;PostgreSQL,AWS;DigitalOcean;Railway,VS Code,ChatGPT;GitHub Copilot;Claude,Rarely,1,Very positive,Moderate threat,Blogs,1,Not looking,4,Rarely,Rust
R01467,2024,Czech Republic,27,Man,Bachelor's degree,2,Front-End Developer,Full-time,201-1000,Remote,31,35200,3,4,Windows,Kotlin,React;Ruby on Rails;Flutter;Vue.js,Supabase;MySQL,Heroku,PyCharm;Android Studio;Cursor,ChatGPT,Multiple times daily,26,Very negative,No threat,Stack Overflow,0,Open to offers,4,Sometimes,Go
R01468,2023,India,28,Man,Master's degree,5,Front-End Developer,Full-time,11-50,Hybrid,36,15300,4,5,macOS,HTML/CSS;Rust;Bash/Shell;JavaScript;Python;Java,React;Bootstrap,MySQL;Supabase;PostgreSQL;Neo4j,DigitalOcean;AWS,Android Studio;VS Code;IntelliJ IDEA,Cursor AI;ChatGPT,Rarely,5,Somewhat positive,Moderate threat,ChatGPT/AI,0,Not looking,3,Often,AI/ML;Zig
R01469,2023,Mexico,26,Woman,Bachelor's degree,0,Front-End Developer,Unemployed,11-50,Hybrid,56,3440,4,5,macOS,C++;JavaScript;Python;TypeScript,PyTorch;Node.js;Nuxt.js;Express;Vue.js,Redis,DigitalOcean;Azure,PyCharm;Zed;Vim/Neovim,Claude;Cursor AI;ChatGPT,Weekly,31,Very positive,Will replace most devs,Colleagues,0,Open to offers,5,Sometimes,TypeScript;HTMX
R01470,2020,India,39,Man,Master's degree,15,Data Engineer,Unemployed,11-50,Remote,35,7700,3,4,Windows,SQL;C++;Java;JavaScript;C#,Spring Boot;Flask,DynamoDB;CockroachDB;PostgreSQL,AWS;Cloudflare,WebStorm,ChatGPT;GitHub Copilot,Never,13,Neutral,Moderate threat,YouTube,0,Open to offers,4,Often,Rust;Web3
R01471,2020,Germany,36,Man,Associate degree,20,Full-Stack Developer,Freelance,51-200,Hybrid,30,84700,2,5,Windows,Java;JavaScript;Go;TypeScript,Next.js;React;.NET;Vue.js;Angular,ClickHouse;Cassandra;MySQL,Vercel,VS Code;Eclipse,ChatGPT;Gemini;GitHub Copilot;Claude,Daily,48,Very positive,Minimal threat,YouTube,1,Actively looking,5,Never,Python;Kotlin;Swift
R01472,2021,Italy,38,Man,Self-taught / Bootcamp,18,Data Scientist,Full-time,5001-10000,Remote,43,56700,5,4,macOS,Java;Rust,Angular;Node.js,PostgreSQL;Redis;Elasticsearch;MongoDB,Vercel;Azure;Cloudflare,VS Code;Zed;Sublime Text,ChatGPT;GitHub Copilot;Gemini;v0,Weekly,12,Somewhat positive,Moderate threat,Blogs,0,Not looking,5,Never,Kotlin;TypeScript
R01473,2023,France,30,Man,Master's degree,7,QA / Test Engineer,Full-time,1001-5000,In-Office,33,41700,1,4,macOS,Java;TypeScript;JavaScript;C++;PHP;HTML/CSS,React;Tailwind CSS,MongoDB;MySQL;PostgreSQL,Cloudflare;DigitalOcean;Vercel,Vim/Neovim;IntelliJ IDEA;VS Code,GitHub Copilot;Amazon CodeWhisperer;Tabnine,Multiple times daily,19,Somewhat positive,Minimal threat,ChatGPT/AI,0,Not looking,5,Sometimes,Kubernetes;Kotlin
R01474,2025,France,18,Woman,Self-taught / Bootcamp,0,Back-End Developer,Full-time,10000+,Remote,35,19700,4,4,Windows,C++;JavaScript;HTML/CSS;Bash/Shell;C#;Java,Spring Boot,MySQL;CockroachDB;Supabase,AWS,VS Code;WebStorm,Claude,Multiple times daily,34,Somewhat positive,Moderate threat,ChatGPT/AI,0,Open to offers,4,Always,Zig;Kubernetes
R01475,2023,United States,34,Man,Bachelor's degree,9,Back-End Developer,Full-time,10000+,In-Office,31,163700,4,3,macOS,JavaScript;Python,NestJS;Express;Bootstrap,PostgreSQL;Elasticsearch,Netlify;Azure;Vercel,Visual Studio,Claude,Multiple times daily,44,Somewhat positive,Significant threat,ChatGPT/AI,1,Not looking,5,Rarely,Elixir
R01476,2024,India,26,Man,Bachelor's degree,1,Full-Stack Developer,Full-time,201-1000,Remote,36,7200,4,4,macOS,JavaScript,FastAPI;Node.js;PyTorch,Redis,AWS,IntelliJ IDEA;Vim/Neovim,,Multiple times daily,28,Neutral,Will replace most devs,Official docs,0,Actively looking,4,Sometimes,Python
R01477,2021,Brazil,31,Man,Master's degree,4,Back-End Developer,Full-time,201-1000,Remote,28,11400,3,3,Linux,TypeScript;Bash/Shell;Java;SQL;JavaScript,TensorFlow;Tailwind CSS;Node.js;Spring Boot;NestJS,Redis;SQLite;Firebase Realtime DB,Azure,Visual Studio;Zed,GitHub Copilot;Perplexity;Gemini,Rarely,1,Neutral,Moderate threat,Official docs,0,Actively looking,2,Rarely,Go;HTMX
R01478,2025,India,21,Man,Bachelor's degree,0,Full-Stack Developer,Full-time,10000+,Hybrid,32,12000,4,3,Windows,Bash/Shell,React;Flutter,MySQL,Google Cloud,VS Code,Claude Code;GitHub Copilot;ChatGPT,Rarely,6,Somewhat positive,Moderate threat,YouTube,0,Open to offers,5,Rarely,Kubernetes;Go;Elixir
R01479,2024,Canada,36,Man,Bachelor's degree,9,DevOps / SRE,Freelance,201-1000,Remote,38,97200,4,5,Windows,SQL;JavaScript,Express,MySQL,Vercel;Netlify,IntelliJ IDEA;VS Code;Zed,,Monthly,33,Very positive,Minimal threat,Stack Overflow,1,Not looking,5,Always,Web3
R01480,2026,Denmark,28,Man,Bachelor's degree,11,Front-End Developer,Full-time,51-200,Remote,32,95200,1,5,Windows,HTML/CSS;Ruby;Go;TypeScript;Python;Bash/Shell,Vue.js;PyTorch;TensorFlow;React Native;Node.js,Microsoft SQL Server;PostgreSQL,Google Cloud;AWS;Azure,VS Code,ChatGPT,Weekly,26,Very positive,Minimal threat,YouTube,1,Not looking,5,Often,Rust;Web3
R01481,2025,United Kingdom,22,Man,Bachelor's degree,0,Full-Stack Developer,Full-time,11-50,Remote,14,37900,2,3,Linux,C#;TypeScript,Node.js;NestJS;Next.js;Flutter,Redis;Microsoft SQL Server,Fly.io,Vim/Neovim,Claude Code,Daily,56,Very positive,Moderate threat,Stack Overflow,1,Open to offers,5,Often,Zig;Elixir;AI/ML
R01482,2026,Vietnam,34,Man,Bachelor's degree,8,Full-Stack Developer,Full-time,11-50,Hybrid,38,14700,3,4,macOS,Go;Rust;HTML/CSS;TypeScript;Ruby;SQL,Spring Boot,MongoDB,DigitalOcean;Heroku;AWS,Cursor,Claude,Multiple times daily,20,Neutral,Moderate threat,YouTube,0,Open to offers,5,Often,Elixir;Go
R01483,2026,Denmark,26,Man,Bachelor's degree,2,Full-Stack Developer,Student,1001-5000,Remote,16,12420,5,4,Windows,SQL;JavaScript,React;Laravel;Spring Boot;Bootstrap;TensorFlow,Neo4j;MongoDB;ClickHouse;MySQL,Cloudflare,Vim/Neovim;Visual Studio;VS Code,Cursor AI;ChatGPT;Perplexity,Never,5,Very positive,Moderate threat,Stack Overflow,1,Not looking,4,Sometimes,Kotlin;AI/ML;Rust
R01484,2026,Israel,35,Man,Self-taught / Bootcamp,11,Full-Stack Developer,Full-time,1001-5000,Hybrid,27,104200,4,4,Windows,Java;HTML/CSS;Rust;TypeScript;Bash/Shell;SQL,React;jQuery;Bootstrap;Flutter;Tailwind CSS,PostgreSQL;DynamoDB;MongoDB,AWS;Vercel;Hetzner,Sublime Text;Android Studio;VS Code,Cursor AI;GitHub Copilot,Never,8,Somewhat positive,Significant threat,ChatGPT/AI,0,Open to offers,2,Rarely,Elixir
R01485,2020,Spain,39,Man,Self-taught / Bootcamp,16,Machine Learning Engineer,Full-time,1001-5000,In-Office,28,59900,5,5,Windows,Ruby;C#;Python,TensorFlow;Express;FastAPI,SQLite;MongoDB;PostgreSQL,Cloudflare;AWS,Vim/Neovim;Visual Studio,,Multiple times daily,47,Very positive,Significant threat,Official docs,0,Open to offers,5,Never,TypeScript
R01486,2024,India,26,Man,Master's degree,3,Security Engineer,Full-time,51-200,In-Office,28,18800,4,5,Windows,Bash/Shell;Python;Rust,Tailwind CSS;Node.js,MySQL;Redis,Google Cloud;Cloudflare;DigitalOcean,IntelliJ IDEA,ChatGPT;Claude,Never,6,Very positive,Moderate threat,Online courses,1,Actively looking,5,Sometimes,Go;Web3;TypeScript
R01487,2021,Russia,37,Man,Bachelor's degree,20,QA / Test Engineer,Full-time,201-1000,Hybrid,33,37600,4,5,Linux,Go;JavaScript;C;Bash/Shell;PHP,Node.js;React,MongoDB,AWS;Vercel,Android Studio;Vim/Neovim,ChatGPT;Perplexity,Multiple times daily,48,Very negative,Minimal threat,Online courses,0,Not looking,4,Often,AI/ML;Elixir;TypeScript
R01488,2025,Australia,31,Man,High school,9,Back-End Developer,Full-time,201-1000,Hybrid,36,55800,4,5,Linux,C#;Java;Python;Go;Scala;SQL,.NET;React;Bootstrap;Vue.js,Supabase;SQLite;MySQL,Cloudflare;AWS,Android Studio;IntelliJ IDEA;VS Code,ChatGPT;Claude;Perplexity,Daily,24,Neutral,Moderate threat,ChatGPT/AI,1,Open to offers,5,Sometimes,Zig;HTMX
R01489,2021,South Africa,31,Man,Bachelor's degree,4,Full-Stack Developer,Full-time,10000+,Hybrid,39,20500,5,5,Linux,TypeScript;JavaScript;Python;Dart;HTML/CSS;Bash/Shell,Tailwind CSS;Express,Firebase Realtime DB;MongoDB;PostgreSQL,Netlify;Google Cloud;AWS,VS Code;Cursor,ChatGPT;Claude;GitHub Copilot,Weekly,5,Somewhat positive,Moderate threat,Blogs,0,Open to offers,5,Often,Zig
R01490,2026,United States,44,Man,Bachelor's degree,26,Game Developer,Full-time,10000+,Remote,28,168000,4,4,macOS,C#,Tailwind CSS;React;TensorFlow;Flutter;Nuxt.js,DynamoDB;PostgreSQL;SQLite,Azure;Hetzner;DigitalOcean,VS Code;Android Studio,Tabnine;Cursor AI,Daily,27,Neutral,Significant threat,Official docs,1,Not looking,4,Never,AI/ML
R01491,2022,Germany,30,Non-binary,Bachelor's degree,10,Engineering Manager,Full-time,5001-10000,Hybrid,27,196800,4,4,macOS,Python,jQuery;Express;Vue.js;React,PostgreSQL;SQLite,Cloudflare;Google Cloud;Netlify,Visual Studio;Cursor,,Rarely,12,Very positive,Minimal threat,Stack Overflow,0,Not looking,5,Sometimes,AI/ML
R01492,2026,Poland,32,Man,Master's degree,15,Front-End Developer,Full-time,51-200,Hybrid,34,63200,1,5,Linux,Go;C#;Bash/Shell,Express,SQLite,AWS;Vercel;Azure,VS Code,ChatGPT;Claude,Multiple times daily,22,Somewhat negative,No threat,Stack Overflow,0,Not looking,5,Always,Elixir
R01493,2026,United States,37,Man,Bachelor's degree,16,Full-Stack Developer,Part-time,1-10,Hybrid,36,223000,3,2,macOS,C++;PHP;HTML/CSS,Node.js;Vue.js;React,PostgreSQL;Oracle;MariaDB;DynamoDB,Azure,PyCharm;Sublime Text,ChatGPT;GitHub Copilot;Gemini;Claude,Rarely,0,Somewhat positive,Significant threat,Stack Overflow,0,Open to offers,3,Always,Zig;Kotlin;Elixir
R01494,2024,France,51,Prefer not to say,Bachelor's degree,32,Full-Stack Developer,Full-time,11-50,Remote,41,65700,5,3,Windows,Dart,Node.js;FastAPI;Vue.js;NestJS;Next.js,SQLite;MySQL,Azure,Vim/Neovim;VS Code,GitHub Copilot;Amazon CodeWhisperer;Cursor AI;ChatGPT,Multiple times daily,30,Somewhat positive,Significant threat,Official docs,1,Not looking,4,Never,Elixir
R01495,2020,Ireland,59,Man,Master's degree,36,Back-End Developer,Full-time,1001-5000,Hybrid,44,120200,5,2,Windows,Rust;SQL;JavaScript;Python,Vue.js;Svelte,MongoDB;Redis;MySQL,AWS,VS Code;Cursor,,Monthly,0,Very positive,Minimal threat,ChatGPT/AI,0,Not looking,5,Rarely,Rust;Web3;Kubernetes
R01496,2026,India,32,Man,Master's degree,10,Mobile Developer,Full-time,201-1000,Hybrid,53,18500,4,5,Windows,Swift;HTML/CSS;Go;TypeScript;Perl,Vue.js;Flutter,Redis;ClickHouse;SQLite;PostgreSQL,Vercel;AWS,WebStorm,GitHub Copilot;Codeium;Gemini;v0,Weekly,9,Neutral,Moderate threat,Official docs,1,Not looking,4,Rarely,Web3
R01497,2023,Germany,35,Man,Bachelor's degree,16,Freelancer / Consultant,Full-time,201-1000,In-Office,43,89600,4,5,Linux,C;HTML/CSS;Swift;Bash/Shell;Java,Tailwind CSS;.NET;Spring Boot;htmx,Redis,Azure;Fly.io;Cloudflare,IntelliJ IDEA;Vim/Neovim,,Monthly,12,Neutral,Moderate threat,Blogs,1,Open to offers,3,Often,Kubernetes
R01498,2023,Brazil,43,Man,Master's degree,24,Front-End Developer,Full-time,51-200,Hybrid,42,31200,4,4,Linux,C#;JavaScript;HTML/CSS;Rust;Go;SQL,FastAPI;Flutter;.NET;Laravel;Tailwind CSS,MongoDB;MySQL;Redis,Netlify;Google Cloud;AWS,Visual Studio,,Multiple times daily,31,Somewhat positive,Minimal threat,Stack Overflow,0,Open to offers,3,Always,Zig;Kubernetes;Swift
R01499,2020,France,44,Man,Bachelor's degree,24,Full-Stack Developer,Full-time,1-10,Hybrid,43,86800,4,3,macOS,JavaScript;Python;PHP;C,React;jQuery;Spring Boot;Next.js;.NET,MongoDB;ClickHouse,DigitalOcean;AWS;Vercel,Vim/Neovim;Sublime Text,v0,Multiple times daily,47,Somewhat negative,Significant threat,Stack Overflow,0,Open to offers,4,Often,Swift
R01500,2021,India,35,Non-binary,Master's degree,10,Data Engineer,Full-time,1-10,Remote,34,28200,4,4,Windows,Python;JavaScript;SQL,Tailwind CSS;Angular;jQuery;Flutter,MongoDB,AWS;Vercel;Azure,IntelliJ IDEA,ChatGPT;Claude,Weekly,43,Somewhat positive,Significant threat,YouTube,0,Open to offers,5,Never,Python
R01501,2023,Philippines,22,Man,Master's degree,0,Student / Intern,Freelance,1-10,Hybrid,38,3100,5,4,macOS,Python;JavaScript;Zig;HTML/CSS,Angular;Node.js;Spring Boot,MySQL;SQLite;Microsoft SQL Server;Cassandra,AWS;Netlify,IntelliJ IDEA,Perplexity,Weekly,15,Very negative,No threat,ChatGPT/AI,1,Open to offers,4,Often,Elixir;HTMX
R01502,2023,Brazil,20,Man,Master's degree,0,Front-End Developer,Full-time,1001-5000,Hybrid,30,16400,3,4,macOS,C;Rust;JavaScript;HTML/CSS;C++;Python,Express;React Native;FastAPI;Spring Boot,MySQL,AWS,VS Code,Amazon CodeWhisperer;ChatGPT,Monthly,18,Very negative,Significant threat,Stack Overflow,0,Not looking,4,Rarely,Python
R01503,2024,India,38,Woman,Master's degree,14,Front-End Developer,Full-time,51-200,Remote,30,28400,4,3,Windows,JavaScript;Rust;Python;HTML/CSS,React Native,Microsoft SQL Server;SQLite;MySQL,AWS;Azure;DigitalOcean,Sublime Text;IntelliJ IDEA,Cursor AI,Multiple times daily,20,Somewhat positive,No threat,Blogs,1,Not looking,5,Sometimes,Kotlin
R01504,2026,Brazil,35,Man,Master's degree,14,Full-Stack Developer,Full-time,10000+,Hybrid,46,32100,3,3,macOS,Python;HTML/CSS;SQL,Next.js;Tailwind CSS;Angular;Node.js;Svelte,PostgreSQL,DigitalOcean;Vercel,VS Code,GitHub Copilot;Amazon CodeWhisperer,Multiple times daily,37,Very positive,Minimal threat,Stack Overflow,1,Not looking,5,Rarely,TypeScript;Swift
R01505,2023,Spain,28,Man,Bachelor's degree,3,Machine Learning Engineer,Full-time,51-200,Remote,39,28200,5,3,Windows,Dart;C#;Python;Java;R;Bash/Shell,PyTorch;Angular;Spring Boot,Cassandra,AWS;Google Cloud;Netlify,Android Studio;Visual Studio,,Multiple times daily,33,Neutral,Minimal threat,Official docs,0,Open to offers,4,Never,Elixir
